,W/L,FIGHTER,KD,STR,TD,SUB,WEIGHT CLASS,METHOD,ROUND,TIME,,SUM  Pre COVID,,SUM During COVID,
Pre_COVID,WIN,Andre Ewell,0,80,0,0,Bantamweight,S-DEC,3,5:00,,,,,
Pre_COVID,,Jonathan Martinez,0,66,0,0,,,,,,,,,
Pre_COVID,WIN,Youssef Zalal,0,31,6,2,Featherweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Austin Lingo,0,12,1,0,,,,,,,,,
Pre_COVID,WIN,Jan Blachowicz,1,13,0,0,Light Heavyweight,KO/TKO,1,3:08,,,,,
Pre_COVID,,Corey Anderson,0,11,0,0,,Punch,,,,,,,
Pre_COVID,WIN,Diego Sanchez,0,25,0,0,Welterweight,DQ,3,3:09,,,,,
Pre_COVID,,Michel Pereira,1,53,2,0,,,,,,,,,
Pre_COVID,WIN,Montana De La Rosa,1,27,1,1,Women's Flyweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Mara Romero Borella,0,23,1,0,,,,,,,,,
Pre_COVID,WIN,Brok Weaver,0,5,0,1,Lightweight,DQ,1,4:02,,,,,
Pre_COVID,,Kazula Vargas,0,15,1,0,,,,,,,,,
Pre_COVID,WIN,Ray Borg,0,35,10,0,Flyweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Rogerio Bontorin,0,9,0,0,,,,,,,,,
Pre_COVID,WIN,Lando Vannata,0,99,0,0,Lightweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Yancy Medeiros,0,68,0,0,,,,,,,,,
Pre_COVID,WIN,Daniel Rodriguez,1,49,0,1,Welterweight,SUB,2,3:37,,,,,
Pre_COVID,,Tim Means,0,41,1,0,,Guillotine Choke,,,,,,,
Pre_COVID,WIN,John Dodson,1,39,0,0,Bantamweight,KO/TKO,3,0:16,,,,,
Pre_COVID,,Nathaniel Wood,0,46,1,0,,Punch,,,,,,,
Pre_COVID,WIN,Scott Holtzman,0,88,1,0,Lightweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Jim Miller,0,58,0,0,,,,,,,,,
Pre_COVID,WIN,Devin Clark,0,39,3,0,Light Heavyweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Dequan Townsend,0,6,0,0,,,,,,,,,
Pre_COVID,WIN,Merab Dvalishvili,0,63,12,0,Bantamweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Casey Kenney,0,45,0,0,,,,,,,,,
Pre_COVID,WIN,Macy Chiasson,0,86,3,0,Women's Bantamweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Shanna Young,0,40,0,0,,,,,,,,,
Pre_COVID,WIN,Raulian Paiva,1,54,0,0,Flyweight,KO/TKO,2,4:42,,,,,
Pre_COVID,,Mark De La Rosa,0,45,0,0,,Punch,,,,,,,
Pre_COVID,WIN,Dan Hooker,0,122,1,0,Lightweight,S-DEC,5,5:00,,,,,
Pre_COVID,,Paul Felder,0,110,0,0,,,,,,,,,
Pre_COVID,WIN,Jimmy Crute,0,2,8,1,Light Heavyweight,SUB,1,3:29,,,,,
Pre_COVID,,Michal Oleksiejczuk,0,3,0,0,,Kimura,,,,,,,
Pre_COVID,WIN,Yan Xiaonan,0,93,5,0,Women's Strawweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Karolina Kowalkiewicz,0,38,0,1,,,,,,,,,
Pre_COVID,WIN,Marcos Rogerio de Lima,1,19,0,0,Heavyweight,KO/TKO,1,1:28,,,,,
Pre_COVID,,Ben Sosoli,0,5,0,0,,Punch,,,,,,,
Pre_COVID,WIN,Brad Riddell,1,38,1,0,Lightweight,S-DEC,3,5:00,,,,,
Pre_COVID,,Magomed Mustafaev,0,28,8,0,,,,,,,,,
Pre_COVID,WIN,Zubaira Tukhugov,2,28,0,0,Featherweight,KO/TKO,1,3:21,,,,,
Pre_COVID,,Kevin Aguilar,0,9,0,0,,Punches,,,,,,,
Pre_COVID,WIN,Jalin Turner,0,55,0,3,Lightweight,KO/TKO,2,3:01,,,,,
Pre_COVID,,Josh Culibao,0,12,0,0,,Punches,,,,,,,
Pre_COVID,WIN,Jake Matthews,1,33,4,0,Welterweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Emil Meek,0,50,0,0,,,,,,,,,
Pre_COVID,WIN,Song Kenan,1,17,0,0,Welterweight,KO/TKO,1,2:20,,,,,
Pre_COVID,,Callan Potter,0,7,1,0,,Punch,,,,,,,
Pre_COVID,WIN,Kai Kara-France,0,78,0,0,Flyweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Tyson Nam,0,50,0,0,,,,,,,,,
Pre_COVID,WIN,Angela Hill,0,48,1,1,Women's Strawweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Loma Lookboonmee,0,53,1,0,,,,,,,,,
Pre_COVID,WIN,Priscila Cachoeira,1,8,0,0,Women's Flyweight,KO/TKO,1,0:40,,,,,
Pre_COVID,,Shana Dobson,0,5,0,0,,Punch,,,,,,,
Pre_COVID,WIN,Deiveson Figueiredo,1,25,1,1,Flyweight,KO/TKO,2,1:54,,,,,
Pre_COVID,,Joseph Benavidez,0,46,0,0,,Punch,,,,,,,
Pre_COVID,WIN,Felicia Spencer,0,40,1,0,Women's Featherweight,KO/TKO,1,3:37,,,,,
Pre_COVID,,Zarah Fairn,0,13,0,0,,Punches,,,,,,,
Pre_COVID,WIN,Magomed Ankalaev,0,8,0,0,Light Heavyweight,KO/TKO,1,0:38,,,,,
Pre_COVID,,Ion Cutelaba,0,5,0,0,,Punches,,,,,,,
Pre_COVID,WIN,Megan Anderson,1,7,0,0,Women's Featherweight,KO/TKO,1,3:31,,,,,
Pre_COVID,,Norma Dumont,0,5,1,0,,Punch,,,,,,,
Pre_COVID,WIN,Grant Dawson,0,15,2,2,Featherweight,SUB,2,1:38,,,,,
Pre_COVID,,Darrick Minner,0,4,1,2,,Rear Naked Choke,,,,,,,
Pre_COVID,WIN,Kyler Phillips,0,89,2,1,Bantamweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Gabriel Silva,0,31,2,1,,,,,,,,,
Pre_COVID,WIN,Brendan Allen,0,20,0,0,Middleweight,KO/TKO,1,4:47,,,,,
Pre_COVID,,Tom Breese,0,4,0,0,,Punches,,,,,,,
Pre_COVID,WIN,Marcin Tybura,0,43,2,0,Heavyweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Serghei Spivac,0,26,0,0,,,,,,,,,
