,Event ID,Date,Short Name,Name,Date Time,Red Fighter Name,Blue Fighter Name,American Odd that Red Fighter Will Win,American Odd that Blue Fighter Will Win,Location,Country,Winner of the Fight,Title Bout?,Weight Class,Number of Rounds in Fight,Blue Significant Strikes Landed/min,Blue Significant Striking Accuracy,Blue Average Submissions Attempted/15min,Blue Average Takedowns Landed/15min,Blue Takedown Accuracy,Red Significant Strikes Landed/min,Red Significant Striking Accuracy,Red Average Submissions Attempted/15min,Red Average Takedowns Landed/15min,Red Takedown Accuracy
72,110,2020-03-14,UFC Fight Night,UFC Fight Night: Lee vs. Oliveira,2020-03-14T15:00:00,Veronica Macedo,Bea Malecki,-155.0,145.0,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Women's Bantamweight,3.0,2.72,0.26,4.3,0.0,0.0,1.9,0.45,0.8,0.8,1.0
73,118,2020-05-09,UFC 249,UFC 249: Ferguson vs. Gaethje,2020-05-09T18:00:00,Vicente Luque,Niko Price,-290.0,245.0,"Jacksonville, Florida, USA",USA,Red,False,Welterweight,3.0,3.06,0.34,1.3,1.08,0.23,5.18,0.53,1.0,0.82,0.5
74,118,2020-05-09,UFC 249,UFC 249: Ferguson vs. Gaethje,2020-05-09T18:00:00,Bryce Mitchell,Charles Rosa,-155.0,135.0,"Jacksonville, Florida, USA",USA,Red,False,Featherweight,3.0,3.79,0.36,1.2,2.82,0.34,1.78,0.5,1.8,1.75,0.28
75,118,2020-05-09,UFC 249,UFC 249: Ferguson vs. Gaethje,2020-05-09T18:00:00,Ryan Spann,Sam Alvey,-420.0,335.0,"Jacksonville, Florida, USA",USA,Red,False,Light Heavyweight,3.0,3.05,0.44,0.1,0.09,0.16,3.26,0.43,2.4,0.6,0.33
76,118,2020-05-09,UFC 249,UFC 249: Ferguson vs. Gaethje,2020-05-09T18:00:00,Anthony Pettis,Donald Cerrone,-135.0,115.0,"Jacksonville, Florida, USA",USA,Red,False,Welterweight,3.0,4.33,0.46,1.3,1.21,0.36,2.97,0.46,1.2,0.67,0.54
77,118,2020-05-09,UFC 249,UFC 249: Ferguson vs. Gaethje,2020-05-09T18:00:00,Aleksei Oleinik,Fabricio Werdum,270.0,-330.0,"Jacksonville, Florida, USA",USA,Red,False,Heavyweight,3.0,3.61,0.51,1.1,1.65,0.3,3.08,0.5,2.8,3.01,0.46
78,118,2020-05-09,UFC 249,UFC 249: Ferguson vs. Gaethje,2020-05-09T18:00:00,Carla Esparza,Michelle Waterson,-155.0,135.0,"Jacksonville, Florida, USA",USA,Red,False,Women's Strawweight,3.0,3.35,0.53,1.2,1.88,0.5,2.22,0.4,0.3,3.53,0.36
79,118,2020-05-09,UFC 249,UFC 249: Ferguson vs. Gaethje,2020-05-09T18:00:00,Uriah Hall,Jacare Souza,115.0,-135.0,"Jacksonville, Florida, USA",USA,Red,False,Middleweight,3.0,2.54,0.46,1.4,2.46,0.38,3.31,0.5,0.2,0.75,0.38
80,118,2020-05-09,UFC 249,UFC 249: Ferguson vs. Gaethje,2020-05-09T18:00:00,Tony Ferguson,Justin Gaethje,-180.0,158.0,"Jacksonville, Florida, USA",USA,Blue,True,Lightweight,5.0,8.57,0.55,0.0,0.0,0.0,5.81,0.45,1.4,0.56,0.42
81,118,2020-05-09,UFC 249,UFC 249: Ferguson vs. Gaethje,2020-05-09T18:00:00,Henry Cejudo,Dominick Cruz,-225.0,185.0,"Jacksonville, Florida, USA",USA,Red,True,Bantamweight,5.0,3.53,0.31,0.1,3.17,0.5,3.82,0.44,0.2,2.16,0.35
82,118,2020-05-09,UFC 249,UFC 249: Ferguson vs. Gaethje,2020-05-09T18:00:00,Francis Ngannou,Jairzinho Rozenstruik,-265.0,225.0,"Jacksonville, Florida, USA",USA,Red,False,Heavyweight,3.0,3.72,0.46,0.0,0.0,0.0,2.15,0.37,0.5,0.0,0.0
83,118,2020-05-09,UFC 249,UFC 249: Ferguson vs. Gaethje,2020-05-09T18:00:00,Jeremy Stephens,Calvin Kattar,210.0,-250.0,"Jacksonville, Florida, USA",USA,Blue,False,Featherweight,3.0,5.12,0.41,0.0,0.47,0.33,3.09,0.4,0.4,1.18,0.38
