,Date,Red Fighter Name,Blue Fighter Name,American Odd that Red Fighter Will Win,American Odd that Blue Fighter Will Win,Location,Country,Winner of the Fight,Title Bout?,Weight Class,Number of Rounds in Fight,Blue Significant Strikes Landed/min,Blue Significant Striking Accuracy,Blue Average Submissions Attempted/15min,Blue Average Takedowns Landed/15min,Blue Takedown Accuracy,Red Significant Strikes Landed/min,Red Significant Striking Accuracy,Red Average Submissions Attempted/15min,Red Average Takedowns Landed/15min,Red Takedown Accuracy
66,2020-03-14,Amanda Ribas,Randa Markos,-345,315,"Brasilia, Distrito Federal, Brazil",Brazil,Red,False,Women's Strawweight,3,3.01,0.41,0.3,1.38,0.27,4.29,0.38,1.4,2.71,0.57
67,2020-03-14,Elizeu Dos Santos,Aleksei Kunchenko,-122,112,"Brasilia, Distrito Federal, Brazil",Brazil,Red,False,Welterweight,3,3.62,0.42,0.0,0.33,0.33,4.18,0.39,0.6,0.45,0.14
68,2020-03-14,Mayra Bueno Silva,Maryna Moroz,-140,130,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Women's Flyweight,3,3.25,0.25,0.5,0.33,0.14,2.24,0.34,3.0,0.0,0.0
69,2020-03-14,Bruno Silva,David Dvorak,-110,100,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Flyweight,3,0.0,0.0,0.0,0.0,0.0,1.54,0.4,0.0,2.31,0.18
70,2020-03-14,Veronica Macedo,Bea Malecki,-155,145,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Women's Bantamweight,3,2.72,0.26,4.3,0.0,0.0,1.9,0.45,0.8,0.8,1.0
71,2020-05-09,Vicente Luque,Niko Price,-290,245,"Jacksonville, Florida, USA",USA,Red,False,Welterweight,3,3.06,0.34,1.3,1.08,0.23,5.18,0.53,1.0,0.82,0.5
72,2020-05-09,Bryce Mitchell,Charles Rosa,-155,135,"Jacksonville, Florida, USA",USA,Red,False,Featherweight,3,3.79,0.36,1.2,2.82,0.34,1.78,0.5,1.8,1.75,0.28
73,2020-05-09,Ryan Spann,Sam Alvey,-420,335,"Jacksonville, Florida, USA",USA,Red,False,Light Heavyweight,3,3.05,0.44,0.1,0.09,0.16,3.26,0.43,2.4,0.6,0.33
74,2020-05-09,Anthony Pettis,Donald Cerrone,-135,115,"Jacksonville, Florida, USA",USA,Red,False,Welterweight,3,4.33,0.46,1.3,1.21,0.36,2.97,0.46,1.2,0.67,0.54
75,2020-05-09,Aleksei Oleinik,Fabricio Werdum,270,-330,"Jacksonville, Florida, USA",USA,Red,False,Heavyweight,3,3.61,0.51,1.1,1.65,0.3,3.08,0.5,2.8,3.01,0.46
76,2020-05-09,Carla Esparza,Michelle Waterson,-155,135,"Jacksonville, Florida, USA",USA,Red,False,Women's Strawweight,3,3.35,0.53,1.2,1.88,0.5,2.22,0.4,0.3,3.53,0.36
77,2020-05-09,Uriah Hall,Jacare Souza,115,-135,"Jacksonville, Florida, USA",USA,Red,False,Middleweight,3,2.54,0.46,1.4,2.46,0.38,3.31,0.5,0.2,0.75,0.38
78,2020-05-09,Tony Ferguson,Justin Gaethje,-180,158,"Jacksonville, Florida, USA",USA,Blue,True,Lightweight,5,8.57,0.55,0.0,0.0,0.0,5.81,0.45,1.4,0.56,0.42
79,2020-05-09,Henry Cejudo,Dominick Cruz,-225,185,"Jacksonville, Florida, USA",USA,Red,True,Bantamweight,5,3.53,0.31,0.1,3.17,0.5,3.82,0.44,0.2,2.16,0.35
80,2020-05-09,Francis Ngannou,Jairzinho Rozenstruik,-265,225,"Jacksonville, Florida, USA",USA,Red,False,Heavyweight,3,3.72,0.46,0.0,0.0,0.0,2.15,0.37,0.5,0.0,0.0
81,2020-05-09,Jeremy Stephens,Calvin Kattar,210,-250,"Jacksonville, Florida, USA",USA,Blue,False,Featherweight,3,5.12,0.41,0.0,0.47,0.33,3.09,0.4,0.4,1.18,0.38
82,2020-05-09,Greg Hardy,Yorgan De Castro,-200,170,"Jacksonville, Florida, USA",USA,Red,False,Heavyweight,3,3.58,0.53,0.0,0.0,0.0,4.77,0.49,0.0,0.0,0.0
83,2020-05-13,Anthony Smith,Glover Teixeira,-175,155,"Jacksonville, Florida, USA",USA,Blue,False,Light Heavyweight,5,3.41,0.44,1.0,2.0,0.38,3.06,0.47,0.8,0.41,0.26
84,2020-05-13,Ben Rothwell,Ovince Saint Preux,112,-132,"Jacksonville, Florida, USA",USA,Red,False,Heavyweight,3,2.59,0.46,0.6,1.34,0.4,3.34,0.42,0.3,0.66,0.33
85,2020-05-13,Alexander Hernandez,Drew Dober,100,-120,"Jacksonville, Florida, USA",USA,Blue,False,Lightweight,3,4.51,0.4,0.1,0.95,0.17,3.07,0.41,0.0,1.52,0.3
86,2020-05-13,Ricky Simon,Ray Borg,-170,150,"Jacksonville, Florida, USA",USA,Red,False,Bantamweight,3,1.36,0.52,1.1,4.26,0.51,2.96,0.4,0.2,6.53,0.49
87,2020-05-13,Andrei Arlovski,Philipe Lins,130,-150,"Jacksonville, Florida, USA",USA,Red,False,Heavyweight,3,0.0,0.0,0.0,0.0,0.0,3.55,0.44,0.3,0.52,0.36
88,2020-05-13,Michael Johnson,Thiago Moises,-110,-110,"Jacksonville, Florida, USA",USA,Blue,False,Lightweight,3,2.96,0.45,1.5,1.22,0.36,4.22,0.37,0.1,0.52,0.45
89,2020-05-13,Sijara Eubanks,Sarah Moras,-370,310,"Jacksonville, Florida, USA",USA,Red,False,Women's Bantamweight,3,2.04,0.41,1.1,0.91,0.23,4.77,0.39,0.0,2.0,0.44
90,2020-05-13,Gabriel Benitez,Omar Morales,160,-185,"Jacksonville, Florida, USA",USA,Blue,False,Lightweight,3,3.6,0.49,0.0,0.71,1.0,4.32,0.41,1.5,0.21,1.0
91,2020-05-13,Hunter Azure,Brian Kelleher,-200,170,"Jacksonville, Florida, USA",USA,Blue,False,Featherweight,3,4.87,0.45,0.9,1.47,0.29,4.0,0.5,2.5,2.0,0.33
92,2020-05-13,Chase Sherman,Ike Villanueva,-160,140,"Jacksonville, Florida, USA",USA,Red,False,Heavyweight,3,0.0,0.0,0.0,0.0,0.0,5.81,0.43,0.0,0.0,0.0
93,2020-05-16,Alistair Overeem,Walt Harris,135,-155,"Jacksonville, Florida, USA",USA,Red,False,Heavyweight,5,2.97,0.39,0.2,0.32,0.33,3.66,0.63,0.9,1.4,0.54
94,2020-05-16,Claudia Gadelha,Angela Hill,-255,215,"Jacksonville, Florida, USA",USA,Red,False,Women's Strawweight,3,5.76,0.49,0.2,0.47,0.37,3.4,0.41,0.7,3.13,0.45
95,2020-05-16,Dan Ige,Edson Barboza,112,-132,"Jacksonville, Florida, USA",USA,Red,False,Featherweight,3,4.08,0.43,0.1,0.46,0.44,4.12,0.48,0.7,2.15,0.34
96,2020-05-16,Krzysztof Jotko,Eryk Anders,-105,-105,"Jacksonville, Florida, USA",USA,Red,False,Middleweight,3,3.02,0.45,0.1,1.34,0.34,2.98,0.45,0.1,1.27,0.35
97,2020-05-16,Song Yadong,Marlon Vera,-200,170,"Jacksonville, Florida, USA",USA,Red,False,Featherweight,3,3.7,0.48,1.3,0.88,0.42,4.32,0.42,0.5,0.73,0.75
98,2020-05-16,Miguel Baeza,Matt Brown,-155,-155,"Jacksonville, Florida, USA",USA,Red,False,Welterweight,3,3.81,0.54,1.5,1.6,0.47,4.78,0.56,1.1,0.54,0.33
99,2020-05-16,Kevin Holland,Anthony Hernandez,-110,-110,"Jacksonville, Florida, USA",USA,Red,False,Middleweight,3,5.03,0.53,0.9,5.27,0.66,4.29,0.55,1.1,1.26,0.43
100,2020-05-16,Giga Chikadze,Irwin Rivera,-420,335,"Jacksonville, Florida, USA",USA,Red,False,Featherweight,3,2.27,0.36,0.0,0.0,0.0,3.31,0.44,0.0,0.51,0.5
101,2020-05-16,Nate Landwehr,Darren Elkins,100,-120,"Jacksonville, Florida, USA",USA,Red,False,Featherweight,3,3.54,0.37,1.2,2.43,0.33,6.89,0.5,0.0,0.0,0.0
102,2020-05-16,Cortney Casey,Mara Romero Borella,-185,160,"Jacksonville, Florida, USA",USA,Red,False,Women's Flyweight,3,2.54,0.37,0.2,1.66,0.43,4.72,0.38,0.7,0.34,0.3
103,2020-05-16,Rodrigo Nascimento,Don'Tale Mayes,-115,-105,"Jacksonville, Florida, USA",USA,Red,False,Heavyweight,3,4.19,0.45,0.0,0.0,0.0,4.44,0.56,2.9,2.9,1.0
104,2020-05-30,Tyron Woodley,Gilbert Burns,-170,150,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,5,3.13,0.44,0.7,2.39,0.38,2.5,0.49,0.5,1.21,0.41
105,2020-05-30,Blagoy Ivanov,Augusto Sakai,-105,-115,"Las Vegas, Nevada, USA",USA,Blue,False,Heavyweight,3,5.51,0.46,0.0,0.24,0.5,3.09,0.38,0.2,1.07,0.62
106,2020-05-30,Billy Quarantillo,Spike Carlyle,-130,110,"Las Vegas, Nevada, USA",USA,Red,False,Catch Weight,3,14.12,0.68,0.0,0.0,0.0,10.77,0.81,4.0,0.8,0.25
107,2020-05-30,Roosevelt Roberts,Brok Weaver,-360,300,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,3,5.57,0.73,0.8,0.0,0.0,2.87,0.46,0.5,1.84,0.63
108,2020-05-30,Mackenzie Dern,Hannah Cifers,-420,335,"Las Vegas, Nevada, USA",USA,Red,False,Women's Strawweight,3,4.82,0.45,0.3,0.32,1.0,3.24,0.32,0.9,0.46,0.08
109,2020-05-30,Katlyn Chookagian,Antonina Shevchenko,110,-130,"Las Vegas, Nevada, USA",USA,Red,False,Women's Flyweight,3,4.9,0.57,1.0,0.67,1.0,4.11,0.32,0.1,0.0,0.0
110,2020-05-30,Daniel Rodriguez,Gabe Green,-335,275,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,3,0.0,0.0,0.0,0.0,0.0,6.65,0.45,0.6,2.54,0.8
111,2020-05-30,Jamahal Hill,Klidson Abreu,-117,-103,"Las Vegas, Nevada, USA",USA,Red,False,Light Heavyweight,3,2.02,0.39,0.0,0.67,0.2,7.92,0.52,0.0,0.0,0.0
112,2020-05-30,Tim Elliott,Brandon Royval,-162,142,"Las Vegas, Nevada, USA",USA,Blue,False,Flyweight,3,0.0,0.0,0.0,0.0,0.0,3.49,0.46,1.2,4.14,0.57
113,2020-05-30,Louis Smolka,Casey Kenney,230,-270,"Las Vegas, Nevada, USA",USA,Blue,False,Bantamweight,3,3.39,0.4,0.6,1.4,0.5,4.22,0.46,2.1,1.65,0.34
114,2020-05-30,Chris Gutierrez,Vince Morales,-110,-110,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,3,4.84,0.39,0.0,0.0,0.0,3.65,0.55,0.0,0.38,0.33
115,2020-06-06,Amanda Nunes,Felicia Spencer,-600,450,"Las Vegas, Nevada, USA",USA,Red,True,Women's Featherweight,5,4.54,0.55,0.7,1.36,0.16,4.34,0.49,0.7,2.33,0.47
116,2020-06-06,Raphael Assuncao,Cody Garbrandt,120,-140,"Las Vegas, Nevada, USA",USA,Blue,False,Bantamweight,3,3.53,0.37,0.0,0.94,0.33,3.32,0.41,0.3,1.54,0.38
117,2020-06-06,Aljamain Sterling,Cory Sandhagen,-115,-105,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,3,7.14,0.48,0.6,1.24,0.5,4.85,0.5,0.8,1.91,0.29
118,2020-06-06,Neil Magny,Anthony Rocco Martin,-135,115,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,3,2.7,0.36,1.1,0.68,0.25,3.93,0.46,0.3,2.7,0.47
119,2020-06-06,Eddie Wineland,Sean O'Malley,400,-500,"Las Vegas, Nevada, USA",USA,Blue,False,Bantamweight,3,6.87,0.57,1.2,1.24,0.5,3.41,0.29,0.1,0.28,0.28
120,2020-06-06,Alex Caceres,Chase Hooper,168,-195,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,3,5.16,0.63,3.8,0.77,0.16,3.98,0.48,0.8,0.53,0.75
121,2020-06-06,Ian Heinisch,Gerald Meerschaert,-130,110,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,3,3.32,0.43,1.7,2.37,0.43,3.38,0.5,0.5,1.18,0.19
122,2020-06-06,Cody Stamann,Brian Kelleher,-250,210,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,3,4.65,0.43,0.8,1.26,0.23,4.25,0.49,0.0,3.58,0.48
