Pre COVID,W/L,FIGHTER,KD,STR,TD,SUB,WEIGHT CLASS,METHOD,ROUND,TIME
,WIN,Lauren Murphy,0,72,2,0,Women's Flyweight,U-DEC,3,5:00
,,Roxanne Modafferi,0,44,0,0,,,,
,WIN,Austin Hubbard,0,58,0,0,Lightweight,KO/TKO,2,5:00
,,Max Rohskopf,0,17,2,1,,,,
,WIN,Dustin Poirier,0,153,1,4,Lightweight,U-DEC,5,5:00
,,Dan Hooker,0,155,4,0,,,,
,WIN,Mike Perry,1,76,1,0,Welterweight,U-DEC,3,5:00
,,Mickey Gall,0,55,0,0,,,,
,WIN,Maurice Greene,0,63,0,1,Heavyweight,SUB,3,3:44
,,Gian Villante,1,72,0,0,,Arm Triangle,,
,WIN,Brendan Allen,1,41,0,0,Middleweight,U-DEC,3,5:00
,,Kyle Daukaus,0,34,3,0,,,,
,WIN,Takashi Sato,1,18,0,0,Welterweight,KO/TKO,1,0:48
,,Jason Witt,0,2,0,0,,Punches,,
,WIN,Julian Erosa,0,103,3,1,Catch Weight,SUB,3,2:44
,,Sean Woodson,1,106,0,0,,D'Arce Choke,,
,WIN,Khama Worthy,0,55,0,1,Lightweight,SUB,3,2:53
,,Luis Pena,0,38,3,3,,Guillotine Choke,,
,WIN,Tanner Boser,1,15,0,0,Heavyweight,KO/TKO,1,2:41
,,Philipe Lins,0,6,0,0,,Punches,,
,WIN,Kay Hansen,0,31,2,1,Women's Strawweight,SUB,3,2:26
,,Jinh Yu Frey,0,26,0,0,,Armbar,,
,WIN,Youssef Zalal,0,59,0,0,Featherweight,U-DEC,3,5:00
,,Jordan Griffin,0,28,2,0,,,,
During COVID,W/L,FIGHTER,KD,STR,TD,SUB,WEIGHT CLASS,METHOD,ROUND,TIME
,WIN,Kamaru Usman,0,94,5,0,Welterweight,U-DEC,5,5:00
,,Jorge Masvidal,0,66,0,0,,,,
,WIN,Alexander Volkanovski,0,137,3,0,Featherweight,S-DEC,5,5:00
,,Max Holloway,0,102,0,0,,,,
,WIN,Petr Yan,1,194,1,0,Bantamweight,KO/TKO,5,3:24
,,Jose Aldo,0,83,0,0,,Punches,,
,WIN,Rose Namajunas,0,82,0,0,Women's Strawweight,S-DEC,3,5:00
,,Jessica Andrade,0,71,1,0,,,,
,WIN,Amanda Ribas,0,6,1,1,Women's Flyweight,SUB,1,2:21
,,Paige VanZant,0,3,0,0,,Armbar,,
,WIN,Jiri Prochazka,1,33,0,0,Light Heavyweight,KO/TKO,2,0:49
,,Volkan Oezdemir,0,41,0,0,,Punch,,
,WIN,Muslim Salikhov,0,40,0,0,Welterweight,S-DEC,3,5:00
,,Elizeu Zaleski dos Santos,0,46,0,0,,,,
,WIN,Makwan Amirkhani,0,2,1,1,Featherweight,SUB,1,3:15
,,Danny Henry,0,6,0,0,,Anaconda Choke,,
,WIN,Leonardo Santos,0,66,1,0,Lightweight,U-DEC,3,5:00
,,Roman Bogatov,0,50,1,0,,,,
,WIN,Marcin Tybura,0,24,3,0,Heavyweight,U-DEC,3,5:00
,,Maxim Grishin,0,18,0,0,,,,
,WIN,Raulian Paiva,0,52,0,0,Flyweight,U-DEC,3,5:00
,,Zhalgas Zhumagulov,0,66,2,0,,,,
,WIN,Karol Rosa,0,120,2,0,Women's Bantamweight,U-DEC,3,5:00
,,Vanessa Melo,0,45,0,0,,,,
,WIN,Davey Grant,1,74,2,1,Bantamweight,KO/TKO,3,2:38
,,Martin Day,1,62,0,0,,Punch,,
,WIN,Calvin Kattar,0,105,1,0,Featherweight,U-DEC,5,5:00
,,Dan Ige,0,84,0,0,,,,
,WIN,Tim Elliott,0,67,1,2,Flyweight,U-DEC,3,5:00
,,Ryan Benoit,0,55,1,2,,,,
,WIN,Jimmie Rivera,0,48,2,1,Featherweight,U-DEC,3,5:00
,,Cody Stamann,0,26,1,0,,,,
,WIN,Taila Santos,0,57,5,1,Women's Flyweight,U-DEC,3,5:00
,,Molly McCann,0,48,0,0,,,,
,WIN,Mounir Lazzez,0,98,4,0,Welterweight,U-DEC,3,5:00
,,Abdul Razak Alhassan,0,67,1,0,,,,
,WIN,Khamzat Chimaev,0,43,2,1,Middleweight,SUB,2,1:12
,,John Phillips,0,1,0,0,,D'Arce Choke,,
,WIN,Lerone Murphy,0,22,1,0,Featherweight,KO/TKO,1,4:18
,,Ricardo Ramos,0,10,0,0,,Punches,,
,WIN,Modestas Bukauskas,0,18,0,0,Light Heavyweight,KO/TKO,1,5:00
,,Andreas Michailidis,0,23,0,0,,,,
,WIN,Jared Gordon,0,44,3,0,Featherweight,U-DEC,3,5:00
,,Chris Fishgold,0,20,0,1,,,,
,WIN,Liana Jojua,0,2,0,3,Women's Flyweight,SUB,1,2:43
,,Diana Belbita,0,5,1,0,,Armbar,,
,WIN,Jack Shore,0,29,3,1,Bantamweight,SUB,2,2:29
,,Aaron Phillips,0,6,0,0,,Rear Naked Choke,,
,WIN,Deiveson Figueiredo,2,35,0,4,Flyweight,SUB,1,4:48
,,Joseph Benavidez,0,18,0,0,,Rear Naked Choke,,
,WIN,Jack Hermansson,0,2,0,1,Middleweight,SUB,1,1:18
,,Kelvin Gastelum,0,0,1,0,,Heel Hook,,
,WIN,Rafael Fiziev,0,78,1,0,Lightweight,U-DEC,3,5:00
,,Marc Diakiese,0,68,0,0,,,,
